qid,condition,model,run,outcome,correct,queries,tokens,latency
s4_assess_emea,MQ,gemini-2.5-flash,0,error,0,3,18749,35.93
s4_assess_emea,MQ,gemini-2.5-flash,1,error,0,3,21131,36.04
s4_attain_no_advneg,MQ,gemini-2.5-pro,1,error,0,5,18077,51.42
s4_assess_emea,MQ,gemini-2.5-flash,2,error,0,3,21146,37.27
s5_advneg_lift,MQ,gemini-2.5-flash,0,error,0,4,15536,38.9
s4_attain_no_advneg,MQ,gemini-2.5-pro,2,error,0,2,6293,70.72
s5_advneg_lift,MQ,gemini-2.5-flash,1,ok,0,6,17765,25.07
s4_attain_by_region,MQ,gemini-2.5-pro,0,error,0,2,14540,55.21
s5_advneg_lift,MQ,gemini-2.5-flash,2,error,0,3,13331,34.05
s4_attain_by_region,MQ,gemini-2.5-pro,1,error,0,2,14540,53.83
s4_attain_by_region,MQ,gemini-2.5-pro,2,error,0,2,14540,55.78
s4_assess_emea,MQ,gemini-2.5-pro,0,error,0,3,18626,64.25
s4_assess_emea,MQ,gemini-2.5-pro,1,error,0,2,18430,62.43
s4_attain_by_region,S,gemini-2.5-flash,0,ok,1,1,440,1.22
s4_attain_by_region,S,gemini-2.5-flash,1,ok,1,1,440,1.4
s4_attain_by_region,S,gemini-2.5-flash,2,ok,1,1,440,1.05
s4_attain_by_region,S,gemini-2.5-flash,3,ok,1,1,440,1.2
s4_attain_by_region,S,gemini-2.5-flash,4,ok,1,1,440,1.66
s4_attain_advneg,S,gemini-2.5-flash,0,ok,1,1,468,0.88
s4_attain_advneg,S,gemini-2.5-flash,1,ok,1,1,468,0.93
s4_attain_advneg,S,gemini-2.5-flash,2,ok,1,1,468,1.06
s4_attain_advneg,S,gemini-2.5-flash,3,ok,1,1,468,1.37
s4_attain_advneg,S,gemini-2.5-flash,4,ok,1,1,468,1.12
s4_attain_no_advneg,S,gemini-2.5-flash,0,ok,1,1,469,0.96
s4_attain_no_advneg,S,gemini-2.5-flash,1,ok,1,1,469,1.01
s4_attain_no_advneg,S,gemini-2.5-flash,2,ok,1,1,469,1.01
s4_attain_no_advneg,S,gemini-2.5-flash,3,ok,1,1,469,1.02
s4_attain_no_advneg,S,gemini-2.5-flash,4,ok,1,1,469,1.02
s4_assess_emea,S,gemini-2.5-flash,0,ok,1,1,466,0.94
s4_assess_emea,S,gemini-2.5-flash,1,ok,1,1,466,1.02
s4_assess_emea,S,gemini-2.5-flash,2,ok,1,1,466,1.2
s4_assess_emea,S,gemini-2.5-flash,3,ok,1,1,466,1.12
s4_assess_emea,S,gemini-2.5-flash,4,ok,1,1,466,0.93
s5_advneg_lift,S,gemini-2.5-flash,0,refusal,0,1,474,2.98
s5_advneg_lift,S,gemini-2.5-flash,1,ok,0,1,452,3.31
s5_advneg_lift,S,gemini-2.5-flash,2,refusal,0,1,474,5.1
s5_advneg_lift,S,gemini-2.5-flash,3,ok,0,1,452,1.83
s5_advneg_lift,S,gemini-2.5-flash,4,refusal,0,1,474,3.19
s4_attain_by_region,S,gemini-2.5-flash-lite,0,ok,1,1,440,0.61
s4_attain_by_region,S,gemini-2.5-flash-lite,1,ok,1,1,440,0.37
s4_attain_by_region,S,gemini-2.5-flash-lite,2,ok,1,1,440,0.35
s4_attain_by_region,S,gemini-2.5-flash-lite,3,ok,1,1,440,0.36
s4_attain_by_region,S,gemini-2.5-flash-lite,4,ok,1,1,440,0.55
s4_attain_advneg,S,gemini-2.5-flash-lite,0,ok,1,1,468,0.49
s4_attain_advneg,S,gemini-2.5-flash-lite,1,ok,1,1,468,0.48
s4_attain_advneg,S,gemini-2.5-flash-lite,2,ok,1,1,468,0.53
s4_attain_advneg,S,gemini-2.5-flash-lite,3,ok,1,1,468,0.47
s4_attain_advneg,S,gemini-2.5-flash-lite,4,ok,1,1,468,0.47
s4_attain_no_advneg,S,gemini-2.5-flash-lite,0,ok,1,1,469,0.44
s4_attain_no_advneg,S,gemini-2.5-flash-lite,1,ok,1,1,469,0.48
s4_attain_no_advneg,S,gemini-2.5-flash-lite,2,ok,1,1,469,0.53
s4_attain_no_advneg,S,gemini-2.5-flash-lite,3,ok,1,1,469,0.38
s4_attain_no_advneg,S,gemini-2.5-flash-lite,4,ok,1,1,469,0.53
s4_assess_emea,S,gemini-2.5-flash-lite,0,ok,1,1,466,0.51
s4_assess_emea,S,gemini-2.5-flash-lite,1,ok,1,1,466,0.38
s4_assess_emea,S,gemini-2.5-flash-lite,2,ok,1,1,466,0.4
s4_assess_emea,S,gemini-2.5-flash-lite,3,ok,1,1,466,0.52
s4_assess_emea,S,gemini-2.5-flash-lite,4,ok,1,1,466,0.37
s5_advneg_lift,S,gemini-2.5-flash-lite,0,ok,0,1,452,0.47
s5_advneg_lift,S,gemini-2.5-flash-lite,1,ok,0,1,452,0.4
s5_advneg_lift,S,gemini-2.5-flash-lite,2,ok,0,1,452,0.45
s5_advneg_lift,S,gemini-2.5-flash-lite,3,ok,0,1,452,0.43
s5_advneg_lift,S,gemini-2.5-flash-lite,4,ok,0,1,452,0.42
